,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,WORLD SALES,,,,,,,,,,,,,,,,,,,,,,"2020, December Results "
,,Including Jinbei & Huasong ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,PROPRIETE RENAULT
,,MONTH,,,,,,,,,,,,YTD,,,,,,,,,,
,,TIV,,,,Volumes,,,,Market Share,,,,TIV,,,,Volumes,,,,Market Share,,
PC+LCV - Group,,Volumes Ku,Vol Y-1,∆ (U),∆ %,Volumes  u,Vol Y-1,∆ (U),∆ %,MS,Pdm Y-1,∆ pt,,Volumes Ku,Vol y-1,∆ Vol.,∆ %,Volumes  u,Vol y-1,∆ (U),∆ %,MS,MS y-1,∆ pt
,,,,Y-1,vs Y-1,,,vs Y-1,vs Y-1,%,,vs Y-1,,,,Y-1,vs Y-1,,,Y-1,vs Y-1,%,,vs Y-1
DT INDIA,,313.456,302.654,10.802,3.56909209856802%,7398,9446,-2048,-21.6811348719035%,2.36013986013986,3.12105572700179,-0.760915866861931,,4283.873,3950.025,333.848,8.45179460889489%,83756,114036,-30280,-26.553018345084%,1.95514666284458,2.88696906981601,-0.931822406971434
India,,289.574,280.631,8.94300000000004,3.18674700941808%,7263,9328,-2065,-22.1376500857633%,2.50816716970446,3.32393784008182,-0.815770670377353,,3983.507,3675.139,308.368,8.39064862580707%,82368,112489,-30121,-26.7768404021727%,2.06772575019951,3.06080940067845,-0.99308365047894
Indian Territories,,3.331,2.786,0.545,19.562096195262%,135,118,17,14.406779661017%,4.05283698589012,4.23546302943288,-0.182626043542757,,44.322,35.161,9.161,26.0544353118512%,1388,1547,-159,-10.2779573367809%,3.13162763413203,4.39976109894485,-1.26813346481282
Bangladesh,,0.387,0.366,0.021,5.73770491803278%,12,0,12,0%,3.10077519379845,0,3.10077519379845,,4.65,4.4,0.25,5.68181818181819%,70,0,70,0%,1.50537634408602,0,1.50537634408602
Nepal,,1.642,0.881,0.761,86.3791146424517%,123,118,5,4.23728813559323%,7.49086479902558,13.3938706015891,-5.90300580256352,,21.059,12.445,8.614,69.2165528324628%,993,1176,-183,-15.5612244897959%,4.71532361460658,9.44957814383287,-4.73425452922628
Bhutan,,0.46,0.266,0.194,72.9323308270677%,0,0,0,0%,0,0,0,,5.532,3.2,2.332,72.875%,0,49,-49,-100%,0,1.53125,-1.53125
Sri Lanka,,0.842,1.273,-0.431,-33.8570306362922%,0,0,0,0%,0,0,0,,13.081,15.116,-2.035,-13.4625562318074%,325,322,3,0.931677018633548%,2.48451953214586,2.13019317279704,0.354326359348824
Others India,,20.551,19.237,1.314,6.8305868898477%,0,0,0,0%,0,0,0,,256.044,239.725,16.319,6.80738346021483%,0,0,0,0%,0,0,0
Pakistan,,20.551,19.237,1.314,6.8305868898477%,0,0,0,0%,0,0,0,,256.044,239.725,16.319,6.80738346021483%,0,0,0,0%,0,0,0
Afghanistan,,0,0,0,0%,0,0,0,0%,0,0,0,,0,0,0,0%,0,0,0,0%,0,0,0
DT MIDDLE EAST w/o Iran CBU,,124.558,135.639,-11.081,-8.16947927955825%,7528,4576,2952,64.5104895104895%,6.04377077345494,3.37366096771577,2.67010980573916,,1486.457,1590.918,-104.461,-6.56608322993388%,53109,40618,12491,30.752375793983%,3.57285814524066,2.55311713111549,1.01974101412517
ISR + PAL,,5.111,5.976,-0.865,-14.4745649263722%,688,514,174,33.852140077821%,13.4611621991782,8.60107095046854,4.8600912487097,,270.026,286.982,-16.956,-5.90838449798244%,16672,18934,-2262,-11.9467624379423%,6.17422026027123,6.59762633196507,-0.423406071693838
Israel,,5.111,5.976,-0.865,-14.4745649263722%,688,514,174,33.852140077821%,13.4611621991782,8.60107095046854,4.8600912487097,,269.88,286.472,-16.592,-5.79184004021335%,16526,18424,-1898,-10.3017802865827%,6.12346227953164,6.43134407551174,-0.307881795980099
Palestine,,0,0,0,0%,0,0,0,0%,0,0,0,,0.146,0.51,-0.364,-71.3725490196079%,146,510,-364,-71.3725490196079%,100,100,0
RME w/o Iran CBU,,119.447,129.663,-10.216,-7.87888603533776%,6840,4062,2778,68.3899556868538%,5.7263891098144,3.13273640128641,2.59365270852798,,1216.431,1303.936,-87.5049999999997,-6.71083550112886%,36437,21684,14753,68.0363401586423%,2.99540212309617,1.66296505349956,1.33243706959661
Egypt,,19.679,14.009,5.67,40.4739810122064%,4670,2611,2059,78.8586748372271%,23.7308806341786,18.6380184167321,5.09286221744647,,180,128.941,51.059,39.5987312026431%,20504,10503,10001,95.2204132152718%,11.3911111111111,8.14558596567422,3.24552514543689
Libya,,1.512,1.8,-0.288,-16%,0,0,0,0%,0,0,0,,18,15,3,20%,0,0,0,0%,0,0,0
Iraq,,5.15,3.672,1.478,40.2505446623094%,0,250,-250,-100%,0,6.8082788671024,-6.8082788671024,,52,33.553,18.447,54.9786904300659%,850,250,600,240%,1.63461538461538,0.745089857836855,0.88952552677853
GCC,,88.023,104.573,-16.55,-15.8262649058552%,1788,928,860,92.6724137931034%,2.03128727718892,0.887418358467291,1.14386891872163,,901.845,1060.947,-159.102,-14.9962250706209%,12103,7761,4342,55.9463986599665%,1.34202662320022,0.73151627743893,0.610510345761288
Saudi Arabia,,42.212,53.658,-11.446,-21.3313951321331%,929,298,631,211.744966442953%,2.20079598218516,0.555369190055537,1.64542679212962,,411.495,523.102,-111.607,-21.3356094987211%,6195,2575,3620,140.582524271845%,1.50548609339117,0.492255812441933,1.01323028094924
KSA Local,,42.212,53.658,-11.446,-21.3313951321331%,565,298,267,89.5973154362416%,1.35012425922386,0.571965989136485,0.778158270087373,,411.495,523.102,-111.607,-21.3356094987211%,4700,2575,2125,82.5242718446602%,1.16148897944659,0.514381713180757,0.647107266265831
