Завантаження даних за 365 днів...
=== ПОЧАТОК GRID SEARCH ===
Вікно: 20 | LR: 0.0001 --> Train Loss: 0.303465 | Val Loss: 0.093567
Вікно: 20 | LR: 0.0004 --> Train Loss: 0.010708 | Val Loss: 0.011214
Вікно: 20 | LR: 0.0008 --> Train Loss: 0.009866 | Val Loss: 0.009634
Вікно: 20 | LR: 0.0011 --> Train Loss: 0.009355 | Val Loss: 0.010467
Вікно: 20 | LR: 0.0015 --> Train Loss: 0.008421 | Val Loss: 0.009778
Вікно: 20 | LR: 0.0018 --> Train Loss: 0.006520 | Val Loss: 0.007009
Вікно: 20 | LR: 0.0021 --> Train Loss: 0.011029 | Val Loss: 0.010492
Вікно: 20 | LR: 0.0025 --> Train Loss: 0.011045 | Val Loss: 0.008785
Вікно: 20 | LR: 0.0028 --> Train Loss: 0.009356 | Val Loss: 0.011166
Вікно: 20 | LR: 0.0032 --> Train Loss: 0.007869 | Val Loss: 0.009265
Вікно: 20 | LR: 0.0035 --> Train Loss: 0.009059 | Val Loss: 0.010060
Вікно: 20 | LR: 0.0039 --> Train Loss: 0.007721 | Val Loss: 0.008830
Вікно: 20 | LR: 0.0042 --> Train Loss: 0.008588 | Val Loss: 0.009664
Вікно: 20 | LR: 0.0045 --> Train Loss: 0.006588 | Val Loss: 0.008510
Вікно: 20 | LR: 0.0049 --> Train Loss: 0.007843 | Val Loss: 0.008441
Вікно: 20 | LR: 0.0052 --> Train Loss: 0.008236 | Val Loss: 0.009498
Вікно: 20 | LR: 0.0056 --> Train Loss: 0.007690 | Val Loss: 0.009255
Вікно: 20 | LR: 0.0059 --> Train Loss: 0.006152 | Val Loss: 0.007818
Вікно: 20 | LR: 0.0062 --> Train Loss: 0.007542 | Val Loss: 0.008544
Вікно: 20 | LR: 0.0066 --> Train Loss: 0.005312 | Val Loss: 0.007942
Вікно: 20 | LR: 0.0069 --> Train Loss: 0.007284 | Val Loss: 0.008221
Вікно: 20 | LR: 0.0073 --> Train Loss: 0.006398 | Val Loss: 0.008943
Вікно: 20 | LR: 0.0076 --> Train Loss: 0.006586 | Val Loss: 0.009438
Вікно: 20 | LR: 0.0080 --> Train Loss: 0.003774 | Val Loss: 0.006592
Вікно: 20 | LR: 0.0083 --> Train Loss: 0.008451 | Val Loss: 0.010065
Вікно: 20 | LR: 0.0086 --> Train Loss: 0.004967 | Val Loss: 0.009893
Вікно: 20 | LR: 0.0090 --> Train Loss: 0.005508 | Val Loss: 0.007143
Вікно: 20 | LR: 0.0093 --> Train Loss: 0.007391 | Val Loss: 0.009325
Вікно: 20 | LR: 0.0097 --> Train Loss: 0.005259 | Val Loss: 0.007575
Вікно: 20 | LR: 0.0100 --> Train Loss: 0.005094 | Val Loss: 0.009026
Вікно: 22 | LR: 0.0001 --> Train Loss: 0.044024 | Val Loss: 0.009773
Вікно: 22 | LR: 0.0004 --> Train Loss: 0.008799 | Val Loss: 0.008957
